local_time,t_rel_s,hr,rr,strength,occ,range_m
18:30:43,0.0,,,,0,3.62
18:30:45,2.0,,,,0,3.64
18:30:47,3.9,,,,0,3.6
18:30:49,5.9,80.4,18,0.54,1,3.6
18:30:51,7.9,77.7,13,0.59,1,3.62
18:30:53,9.9,80.4,15,0.6,1,3.62
18:30:55,11.8,80.4,12,0.54,1,3.62
18:30:57,13.8,80.4,18,0.51,1,3.62
18:30:59,15.8,75.1,15,0.64,1,3.62
18:31:01,17.7,77.7,18,0.46,1,3.64
18:31:03,19.7,75.1,16,0.52,1,3.64
18:31:05,21.7,72.7,19,0.57,1,3.64
18:31:07,23.7,75.1,17,0.56,1,3.64
18:31:09,25.6,75.1,15,0.62,1,3.64
18:31:11,27.6,77.7,15,0.64,1,3.64
18:31:13,29.6,75.1,17,0.56,1,3.64
18:31:15,31.5,77.7,16,0.62,1,3.64
18:31:17,33.5,80.4,16,0.61,1,3.64
18:31:19,35.5,77.7,17,0.67,1,3.64
18:31:21,37.5,80.4,16,0.57,1,3.64
18:31:23,39.4,86.6,18,0.55,1,3.64
18:31:25,41.5,83.5,16,0.62,1,3.64
18:31:27,43.4,86.6,16,0.57,1,3.64
18:31:29,45.4,86.6,16,0.63,1,3.64
18:31:31,47.4,80.4,17,0.63,1,3.64
18:31:33,49.3,86.6,16,0.7,1,3.62
18:31:35,51.3,83.5,17,0.64,1,3.62
18:31:37,53.3,80.4,17,0.65,1,3.62
18:31:39,55.2,83.5,18,0.51,1,3.62
18:31:41,57.2,86.6,16,0.65,1,3.62
18:31:43,59.2,77.7,17,0.58,1,3.62
18:31:44,61.2,75.1,14,0.62,1,3.62
18:31:46,63.1,80.4,18,0.57,1,3.62
18:31:48,65.1,80.4,16,0.63,1,3.62
18:31:50,67.1,80.4,18,0.57,1,3.62
18:31:52,69.0,75.1,18,0.65,1,3.62
18:31:54,71.0,80.8,18,0.66,1,3.62
18:31:56,73.0,80.8,18,0.57,1,3.62
18:31:58,75.0,77.7,18,0.49,1,3.62
18:32:00,76.9,80.4,18,0.52,1,3.6
18:32:02,78.9,77.7,18,0.56,1,3.62
18:32:04,80.9,80.4,18,0.51,1,3.62
18:32:06,82.8,80.4,18,0.59,1,3.62
18:32:08,84.8,80.4,18,0.51,1,3.64
18:32:10,86.8,86.6,18,0.53,1,3.64
18:32:12,88.8,86.6,18,0.53,1,3.73
18:32:14,90.7,80.4,18,0.46,1,3.64
18:32:16,92.7,75.1,17,0.64,1,3.62
18:32:18,94.7,75.1,17,0.62,1,3.62
18:32:20,96.6,80.4,18,0.5,1,3.62
18:32:22,98.6,72.7,18,0.6,1,3.62
18:32:24,100.6,77.7,18,0.6,1,3.62
18:32:26,102.6,77.7,18,0.58,1,3.62
18:32:28,104.6,75.1,17,0.68,1,3.6
18:32:30,106.6,80.4,16,0.6,1,3.62
18:32:32,108.5,80.4,16,0.52,1,3.62
18:32:34,110.5,,,,0,3.62
18:32:36,112.5,,,,0,3.6
18:32:38,114.4,,,,0,3.62
18:32:40,116.4,,,,0,3.62
18:32:42,118.4,,,,0,3.64
18:32:44,120.4,,,,0,3.64
18:32:46,122.3,,,,0,3.64
18:32:48,124.3,,,,0,3.64
18:32:50,126.3,,,,0,3.64
18:32:52,128.2,,,,0,3.64
18:32:54,130.2,,,,0,3.69
18:32:56,132.2,,,,0,3.64
18:32:57,134.2,,,,0,3.76
18:32:59,136.1,,,,0,3.76
18:33:01,138.1,,,,0,3.76
18:33:03,140.1,,,,0,3.64
18:33:05,142.0,,,,0,3.64
18:33:07,144.0,,,,0,3.62
18:33:09,146.0,,,,0,3.62
18:33:11,148.0,70.4,16,0.57,1,3.62
18:33:13,149.9,68.3,16,0.55,1,3.62
18:33:15,151.9,80.4,16,0.5,1,3.6
18:33:17,153.9,77.7,16,0.52,1,3.6
18:33:19,155.8,83.5,16,0.56,1,3.6
18:33:21,157.8,80.4,16,0.57,1,3.6
18:33:23,159.8,80.4,16,0.66,1,3.6
18:33:25,161.8,80.4,16,0.63,1,3.6
18:33:27,163.7,80.4,16,0.66,1,3.57
18:33:29,165.7,80.4,16,0.61,1,3.57
18:33:31,167.7,80.4,15,0.65,1,3.57
18:33:33,169.6,80.4,16,0.6,1,3.6
18:33:35,171.6,77.7,18,0.52,1,3.62
18:33:37,173.6,80.4,19,0.51,1,3.62
18:33:39,175.6,86.6,12,0.67,1,3.62
18:33:41,177.5,80.4,15,0.63,1,3.62
18:33:43,179.5,83.5,16,0.65,1,3.62
18:33:45,181.5,77.7,18,0.63,1,3.62
18:33:47,183.4,80.4,16,0.68,1,3.62
18:33:49,185.4,75.1,17,0.62,1,3.62
18:33:51,187.4,80.4,16,0.54,1,3.64
18:33:53,189.4,80.4,16,0.64,1,3.62
18:33:55,191.3,83.5,16,0.59,1,3.62
18:33:57,193.3,80.4,16,0.61,1,3.62
18:33:59,195.3,80.4,16,0.51,1,3.62
18:34:01,197.2,77.7,16,0.49,1,3.64
18:34:03,199.2,,,,0,3.62
18:34:05,201.2,80.4,15,0.54,1,3.62
18:34:06,203.1,72.7,14,0.56,1,3.62
18:34:08,205.1,70.4,13,0.55,1,3.6
18:34:10,207.1,72.7,16,0.59,1,3.6
18:34:12,209.1,80.4,10,0.69,1,3.6
18:34:14,211.0,80.4,12,0.68,1,3.6
18:34:16,213.0,80.4,16,0.49,1,3.6
18:34:18,215.0,80.4,14,0.56,1,3.57
18:34:20,216.9,77.7,14,0.59,1,3.6
18:34:22,218.9,83.5,15,0.65,1,3.6
18:34:24,220.9,77.7,14,0.69,1,3.62
18:34:26,222.9,77.7,16,0.63,1,3.64
18:34:28,224.8,83.5,15,0.7,1,3.69
18:34:30,226.8,77.7,15,0.68,1,3.62
18:34:32,228.8,75.1,15,0.68,1,3.62
18:34:34,230.8,77.7,16,0.67,1,3.62
18:34:36,232.7,75.1,16,0.69,1,3.62
18:34:38,234.7,80.4,16,0.62,1,3.62
18:34:40,236.7,75.1,16,0.68,1,3.62
18:34:42,238.6,77.7,16,0.66,1,3.62
18:34:44,240.6,75.1,16,0.62,1,3.6
18:34:46,242.6,77.7,16,0.66,1,3.62
18:34:48,244.5,80.4,16,0.62,1,3.6
18:34:50,246.5,80.4,16,0.63,1,3.6
18:34:52,248.5,75.1,13,0.51,1,3.6
18:34:54,250.5,86.6,21,0.61,1,3.6
18:34:56,252.4,77.7,15,0.56,1,3.57
18:34:58,254.4,75.1,14,0.64,1,3.57
18:35:00,256.4,77.7,20,0.78,1,3.6
18:35:02,258.3,72.7,18,0.61,1,3.59
18:35:04,260.3,72.7,19,0.63,1,3.6
18:35:06,262.3,77.7,17,0.65,1,3.73
18:35:08,264.3,77.7,18,0.61,1,3.62
18:35:10,266.2,80.4,16,0.6,1,3.62
18:35:12,268.2,77.7,18,0.53,1,3.61
18:35:43,300.1,75.4,14,0.58,1,3.64
18:35:45,302.0,80.5,16,0.57,1,3.64
18:35:47,304.0,80.5,16,0.6,1,3.64
18:35:49,306.0,80.5,16,0.61,1,3.62
18:35:51,307.9,80.5,16,0.45,1,3.64
18:35:53,309.9,77.8,16,0.54,1,3.62
18:35:55,311.9,77.8,16,0.56,1,3.62
18:35:57,313.9,75.1,16,0.52,1,3.62
18:35:59,315.8,80.5,17,0.62,1,3.62
18:36:01,317.8,75.1,16,0.63,1,3.62
18:36:03,319.8,77.8,15,0.63,1,3.64
18:36:05,321.7,70.4,15,0.58,1,3.64
18:36:07,323.7,80.5,16,0.63,1,3.64
18:36:09,325.7,77.8,16,0.44,1,3.64
18:36:11,327.7,77.8,14,0.63,1,3.64
18:36:13,329.6,75.1,14,0.58,1,3.64
18:36:15,331.6,77.8,14,0.64,1,3.64
18:36:17,333.6,77.8,16,0.58,1,3.64
18:36:19,335.5,83.5,16,0.64,1,3.63
18:36:21,337.5,80.5,15,0.64,1,3.64
18:36:23,339.5,77.8,16,0.6,1,3.64
18:36:25,341.5,75.1,16,0.5,1,3.64
18:36:27,343.4,72.7,16,0.59,1,3.64
18:36:29,345.4,70.4,14,0.53,1,3.69
18:36:31,347.4,72.7,14,0.63,1,3.64
18:36:33,349.4,66.3,14,0.61,1,3.67
18:36:35,351.3,72.7,14,0.66,1,3.64
18:36:37,353.3,75.1,14,0.7,1,3.64
18:36:39,355.3,77.8,16,0.6,1,3.64
18:36:41,357.2,83.5,16,0.62,1,3.67
18:36:43,359.2,80.5,16,0.57,1,3.67
18:36:45,361.2,86.6,16,0.65,1,3.67
18:36:46,363.2,77.8,15,0.59,1,3.64
18:36:48,365.1,80.5,16,0.52,1,3.67
18:36:50,367.1,80.5,16,0.51,1,3.64
18:36:52,369.1,80.5,16,0.55,1,3.64
18:36:54,371.0,83.5,15,0.62,1,3.64
18:36:56,373.0,80.5,17,0.6,1,3.64
18:36:58,375.0,75.1,18,0.54,1,3.64
18:37:00,377.0,80.5,17,0.64,1,3.64
18:37:02,378.9,75.1,16,0.58,1,3.64
18:37:04,380.9,80.5,17,0.66,1,3.64
18:37:06,382.9,72.7,15,0.65,1,3.64
18:37:08,384.8,80.5,16,0.52,1,3.64
18:37:10,386.8,75.1,14,0.6,1,3.64
18:37:12,388.8,75.1,16,0.6,1,3.62
18:37:14,390.7,80.5,16,0.6,1,3.64
18:37:16,392.7,80.5,16,0.47,1,3.64
18:37:18,394.7,70.4,14,0.68,1,3.64
18:37:20,396.7,80.5,16,0.63,1,3.64
18:37:22,398.6,80.5,16,0.54,1,3.64
18:37:24,400.6,80.5,16,0.57,1,3.64
18:37:26,402.6,77.8,16,0.6,1,3.64
18:37:28,404.5,77.8,16,0.57,1,3.64
18:37:30,406.5,80.5,16,0.59,1,3.64
18:37:32,408.5,80.5,16,0.57,1,3.64
18:37:34,410.5,80.5,16,0.59,1,3.64
18:37:36,412.4,75.1,14,0.62,1,3.62
18:37:38,414.4,83.5,16,0.57,1,3.64
18:37:40,416.4,75.1,14,0.62,1,3.64
18:37:42,418.3,80.5,14,0.55,1,3.62
18:37:44,420.3,83.5,12,0.61,1,3.63
18:37:46,422.3,77.8,11,0.57,1,3.63
18:37:48,424.3,80.5,15,0.62,1,3.63
18:37:50,426.2,80.5,11,0.66,1,3.63
18:37:52,428.2,80.5,10,0.55,1,3.63
18:37:53,430.2,86.6,8,0.47,1,3.69
18:37:55,432.1,75.1,11,0.55,1,3.69
18:37:57,434.1,,,,0,3.81
18:37:59,436.1,,,,0,3.69
18:38:01,438.1,,,,0,3.81
18:38:03,440.0,,,,0,3.81
18:38:05,442.0,,,,0,3.69
18:38:07,444.0,,,,0,3.81
18:38:09,445.9,,,,0,4.1
18:38:11,447.9,,,,0,3.88
18:38:13,449.9,,,,0,3.76
18:38:15,451.9,,,,0,3.79
18:38:17,453.8,,,,0,3.76
18:38:19,455.8,,,,0,3.71
18:38:21,457.8,,,,0,3.71
18:38:23,459.7,,,,0,3.76
18:38:25,461.7,,,,0,3.76
18:38:27,463.7,,,,0,3.71
18:38:29,465.7,,,,0,3.76
18:38:31,467.6,,,,0,3.77
18:38:33,469.6,,,,0,3.77
18:38:35,471.6,,,,0,3.82
18:38:37,473.5,,,,0,3.84
18:38:39,475.5,,,,0,3.71
18:38:41,477.5,,,,0,3.81
18:38:43,479.5,,,,0,3.76
18:38:45,481.4,,,,0,3.76
18:38:47,483.4,,,,0,3.76
18:38:49,485.4,,,,0,3.69
18:38:51,487.3,,,,0,3.69
18:38:53,489.3,,,,0,3.69
18:38:55,491.3,,,,0,3.69
18:38:57,493.3,,,,0,3.7
18:38:59,495.2,,,,0,3.69
18:39:01,497.2,,,,0,3.69
18:39:02,499.2,,,,0,3.76
18:39:04,501.1,,,,0,3.69
18:39:06,503.1,,,,0,3.76
18:39:08,505.1,,,,0,3.76
18:39:10,507.1,,,,0,3.66
18:39:12,509.0,,,,0,3.66
18:39:14,511.0,,,,0,3.57
18:39:16,513.0,,,,0,3.76
18:39:18,514.9,,,,0,3.66
18:39:20,516.9,,,,0,3.66
18:39:22,518.9,,,,0,3.66
