local_time,t_rel_s,hr,rr,strength,occ,range_m
19:22:21,0.0,,,,0,4.21
19:22:23,2.0,,,,0,4.21
19:22:25,3.9,,,,0,4.18
19:22:27,5.9,,,,0,3.77
19:22:29,7.9,,,,0,3.84
19:22:31,9.9,,,,0,3.8
19:22:33,11.8,,,,0,3.84
19:22:35,13.8,,,,0,3.84
19:22:37,15.8,,,,0,3.84
19:22:39,17.7,,,,0,3.84
19:22:41,19.7,,,,0,3.83
19:22:42,21.7,,,,0,3.88
19:22:44,23.7,,,,0,3.83
19:22:46,25.6,,,,0,3.83
19:22:48,27.6,,,,0,3.83
19:22:50,29.6,,,,0,3.83
19:22:52,31.5,,,,0,3.84
19:22:54,33.5,,,,0,3.76
19:22:56,35.5,,,,0,3.76
19:22:58,37.5,,,,0,3.76
19:23:00,39.4,,,,0,3.76
19:23:02,41.4,,,,0,3.84
19:23:04,43.4,,,,0,3.81
19:23:06,45.3,,,,0,3.76
19:23:08,47.3,,,,0,3.67
19:23:10,49.3,,,,0,3.8
19:23:12,51.2,,,,0,3.67
19:23:14,53.2,,,,0,3.81
19:23:16,55.2,,,,0,3.88
19:23:18,57.2,,,,0,3.88
19:23:20,59.1,,,,0,3.84
19:23:22,61.1,,,,0,3.84
19:23:24,63.1,,,,0,3.84
19:23:26,65.1,,,,0,3.87
19:23:28,67.0,,,,0,3.84
19:23:30,69.0,,,,0,3.84
19:23:32,71.0,,,,0,3.86
19:23:34,72.9,,,,0,3.86
19:23:36,74.9,,,,0,3.86
19:23:38,76.9,,,,0,3.87
19:23:40,78.9,,,,0,4.02
19:23:42,80.8,,,,0,3.87
19:23:44,82.8,,,,0,4.02
19:23:46,84.8,,,,0,4.02
19:23:48,86.7,,,,0,3.98
19:23:50,88.7,,,,0,3.98
19:23:51,90.7,,,,0,3.98
19:23:53,92.6,,,,0,3.98
19:23:55,94.6,,,,0,3.98
19:23:57,96.6,,,,0,3.81
19:23:59,98.6,,,,0,3.95
19:24:01,100.5,,,,0,3.83
19:24:03,102.5,,,,0,3.95
19:24:05,104.5,,,,0,3.95
19:24:07,106.5,,,,0,3.95
19:24:09,108.4,,,,0,3.87
19:24:11,110.4,,,,0,3.97
19:24:13,112.4,,,,0,3.95
19:24:15,114.4,,,,0,3.87
19:24:17,116.3,,,,0,3.87
19:24:19,118.3,,,,0,3.87
19:24:21,120.2,,,,0,3.87
19:24:23,122.2,,,,0,3.87
19:24:25,124.2,,,,0,3.81
19:24:27,126.2,,,,0,3.81
19:24:29,128.1,,,,0,3.81
19:24:31,130.1,,,,0,3.81
19:24:33,132.1,,,,0,3.69
19:24:35,134.0,,,,0,3.69
19:24:37,136.0,,,,0,3.69
19:24:39,138.0,,,,0,3.69
19:24:41,140.0,,,,0,3.69
19:24:43,141.9,,,,0,3.69
19:24:45,143.9,,,,0,3.69
19:24:47,145.9,,,,0,3.69
19:24:49,147.9,,,,0,3.69
19:24:51,149.8,,,,0,3.69
19:24:53,151.8,,,,0,3.57
19:24:55,153.8,,,,0,3.57
19:24:57,155.7,,,,0,3.7
19:24:59,157.7,,,,0,3.77
19:25:00,159.7,,,,0,3.77
19:25:02,161.6,,,,0,3.7
19:25:04,163.6,,,,0,3.83
19:25:06,165.6,,,,0,3.77
19:25:08,167.6,,,,0,3.83
19:25:10,169.5,,,,0,3.83
19:25:12,171.5,,,,0,3.77
19:25:14,173.5,,,,0,3.83
19:25:16,175.5,,,,0,3.83
19:25:18,177.4,,,,0,3.83
19:25:20,179.4,,,,0,3.83
19:25:22,181.4,,,,0,3.82
19:25:24,183.3,,,,0,3.79
19:25:26,185.3,,,,0,3.73
19:25:28,187.3,,,,0,3.81
19:25:30,189.3,,,,0,3.81
19:25:32,191.2,,,,0,3.76
19:25:34,193.2,,,,0,3.82
19:25:36,195.2,,,,0,3.82
19:25:38,197.1,,,,0,3.81
19:25:40,199.1,,,,0,3.81
19:25:42,201.1,,,,0,3.76
19:25:44,203.1,,,,0,3.76
19:25:46,205.0,,,,0,3.76
19:25:48,207.0,,,,0,3.81
19:25:50,209.0,,,,0,3.83
19:25:52,210.9,,,,0,3.79
19:25:54,212.9,,,,0,3.76
19:25:56,214.9,,,,0,3.82
19:25:58,216.8,,,,0,3.82
19:26:00,218.8,,,,0,3.82
19:26:02,220.8,,,,0,3.83
19:26:04,222.8,,,,0,3.83
19:26:06,224.7,,,,0,3.86
19:26:08,226.7,,,,0,3.83
19:26:09,228.7,,,,0,3.83
19:26:11,230.6,,,,0,3.81
19:26:13,232.6,,,,0,3.82
19:26:15,234.6,,,,0,3.83
19:26:17,236.6,,,,0,3.88
19:26:19,238.5,,,,0,3.93
19:26:21,240.5,,,,0,3.81
19:26:23,242.5,,,,0,3.77
19:26:25,244.4,,,,0,3.88
19:26:27,246.4,,,,0,3.93
19:26:29,248.4,,,,0,3.83
19:26:31,250.4,,,,0,3.77
19:26:33,252.3,,,,0,3.76
19:26:35,254.3,,,,0,3.93
19:26:37,256.3,,,,0,3.93
19:26:39,258.2,,,,0,3.71
19:26:41,260.2,,,,0,3.71
19:26:43,262.2,,,,0,3.86
19:26:45,264.2,,,,0,3.81
19:26:47,266.1,,,,0,3.71
19:26:49,268.1,,,,0,3.76
